"","HHSTFIPS","TRAVDAY","WHYTRP90","period","tot_period","tot","prop"
"478","10",5,"Other Fam / Business",5,5516597.949389,92609441.242313,5.96
"479","10",5,"Medical",1,951037.46378,92609441.242313,1.03
"480","10",5,"Shopping",3,15388931.576394,92609441.242313,16.62
"481","10",5,"Medical",5,1437433.714907,92609441.242313,1.55
"482","10",5,"Shopping",5,1434882.64261,92609441.242313,1.55
"483","10",5,"Vacation",3,825539.493177,92609441.242313,0.89
"484","10",5,"Vacation",5,1550818.62097,92609441.242313,1.67
"485","10",5,"Vacation",7,454141.74685,92609441.242313,0.49
"486","10",5,"Other Fam / Business",1,4967166.75153,92609441.242313,5.36
"487","10",5,"work",1,1973027.39693,92609441.242313,2.13
"488","10",5,"School/Church",1,800693.4803,92609441.242313,0.86
"489","10",5,"School/Church",3,303495.99963,92609441.242313,0.33
"490","10",5,"Other Social/Rec",5,1503762.81745,92609441.242313,1.62
"491","10",5,"Other Fam / Business",4,433486.76124,92609441.242313,0.47
"492","10",5,"Shopping",6,417822.14578,92609441.242313,0.45
"493","10",5,"Shopping",2,327017.004208,92609441.242313,0.35
"494","10",5,"Shopping",4,1396833.959,92609441.242313,1.51
"495","10",5,"work-related",3,7247046.52633,92609441.242313,7.83
"496","10",5,"Visit Friends",7,338630.64573,92609441.242313,0.37
"497","10",5,"Shopping",7,454141.74685,92609441.242313,0.49
"498","10",5,"Visit Friends",4,149215.23447,92609441.242313,0.16
"499","10",5,"Visit Friends",5,2242028.428525,92609441.242313,2.42
"500","10",5,"Other Fam / Business",3,22065680.329704,92609441.242313,23.83
"501","10",5,"Visit Friends",8,367129.169123,92609441.242313,0.4
"502","10",5,"Other Social/Rec",1,359280.028623,92609441.242313,0.39
"503","10",5,"Other Social/Rec",3,2367240.07075,92609441.242313,2.56
"504","10",5,"Visit Friends",1,287776.43377,92609441.242313,0.31
"505","10",5,"Visit Friends",2,86801.641906,92609441.242313,0.09
"506","10",5,"work-related",1,338630.64573,92609441.242313,0.37
"507","10",5,"work-related",2,2035572.4159,92609441.242313,2.2
"508","10",5,"Visit Friends",3,2338940.971582,92609441.242313,2.53
"509","10",6,"work",1,3236817.69262,83758682.511234,3.86
"510","10",6,"School/Church",5,509277.00548,83758682.511234,0.61
"511","10",6,"Shopping",3,17569158.5234,83758682.511234,20.98
"512","10",6,"Shopping",4,183504.49313,83758682.511234,0.22
"513","10",6,"Shopping",5,4848212.00768,83758682.511234,5.79
"514","10",6,"Vacation",5,381783.92068,83758682.511234,0.46
"515","10",6,"Vacation",7,381783.92068,83758682.511234,0.46
"516","10",6,"Other Fam / Business",3,14511756.12371,83758682.511234,17.33
"517","10",6,"School/Church",4,1291584.1721,83758682.511234,1.54
"518","10",6,"Medical",2,449687.93732,83758682.511234,0.54
"519","10",6,"School/Church",7,509277.00548,83758682.511234,0.61
"520","10",6,"Other Fam / Business",7,234985.30368,83758682.511234,0.28
