"","HHSTFIPS","WHYTRP90","TRAVDAY","strt_hr","counts","tot","prop"
"35486","06","Other",3,21,282191.23694,11510806.712608,2.45
"35487","06","Other",3,22,1062354.58353,11510806.712608,9.23
"35488","06","Other",4,6,433161.76819,7440150.927389,5.82
"35489","06","Other",4,7,591800.204162,7440150.927389,7.95
"35490","06","Other",4,8,990979.71718,7440150.927389,13.32
"35491","06","Other",4,9,148330.44151,7440150.927389,1.99
"35492","06","Other",4,10,98472.086562,7440150.927389,1.32
"35493","06","Other",4,11,158828.5121,7440150.927389,2.13
"35494","06","Other",4,12,248222.71575,7440150.927389,3.34
"35495","06","Other",4,13,743583.237542,7440150.927389,9.99
"35496","06","Other",4,14,887463.276802,7440150.927389,11.93
"35497","06","Other",4,15,1582969.99747,7440150.927389,21.28
"35498","06","Other",4,16,252451.327216,7440150.927389,3.39
"35499","06","Other",4,18,645535.21382,7440150.927389,8.68
"35500","06","Other",4,19,56112.063195,7440150.927389,0.75
"35501","06","Other",4,21,602240.36589,7440150.927389,8.09
"35502","06","Other",5,7,242252.23076,12818546.365419,1.89
"35503","06","Other",5,8,607935.67004,12818546.365419,4.74
"35504","06","Other",5,9,423850.924311,12818546.365419,3.31
"35505","06","Other",5,10,304088.981124,12818546.365419,2.37
"35506","06","Other",5,11,1827323.704764,12818546.365419,14.26
"35507","06","Other",5,12,2599474.23312,12818546.365419,20.28
"35508","06","Other",5,13,1808561.68418,12818546.365419,14.11
"35509","06","Other",5,14,2287112.5858,12818546.365419,17.84
"35510","06","Other",5,15,1486331.30555,12818546.365419,11.6
"35511","06","Other",5,16,798531.69037,12818546.365419,6.23
"35512","06","Other",5,17,433083.3554,12818546.365419,3.38
"35513","06","Other",6,0,135319.51214,9523399.707241,1.42
"35514","06","Other",6,6,257199.87423,9523399.707241,2.7
"35515","06","Other",6,7,223916.90458,9523399.707241,2.35
"35516","06","Other",6,9,65072.645025,9523399.707241,0.68
"35517","06","Other",6,10,708135.02979,9523399.707241,7.44
"35518","06","Other",6,11,146437.98804,9523399.707241,1.54
"35519","06","Other",6,12,2302269.55721,9523399.707241,24.17
"35520","06","Other",6,13,1235661.615576,9523399.707241,12.98
"35521","06","Other",6,14,891423.90259,9523399.707241,9.36
"35522","06","Other",6,15,902402.63918,9523399.707241,9.48
"35523","06","Other",6,16,402937.26689,9523399.707241,4.23
"35524","06","Other",6,17,338676.44399,9523399.707241,3.56
"35525","06","Other",6,18,1500928.12036,9523399.707241,15.76
"35526","06","Other",6,19,413018.20764,9523399.707241,4.34
"35527","06","Other",7,4,499390.002,6276825.492827,7.96
"35528","06","Other",7,7,457736.57654,6276825.492827,7.29
"35529","06","Other",7,9,118536.31904,6276825.492827,1.89
"35530","06","Other",7,10,554262.6601,6276825.492827,8.83
"35531","06","Other",7,11,1228001.86711,6276825.492827,19.56
"35532","06","Other",7,13,651165.03568,6276825.492827,10.37
"35533","06","Other",7,14,72384.227867,6276825.492827,1.15
"35534","06","Other",7,15,202306.57389,6276825.492827,3.22
"35535","06","Other",7,16,692681.37077,6276825.492827,11.04
"35536","06","Other",7,17,1681824.54079,6276825.492827,26.79
"35537","06","Other",7,18,118536.31904,6276825.492827,1.89
"35538","06","work-related",1,6,159908.50119,18842969.34893,0.85
"35539","06","work-related",1,8,1591518.48257,18842969.34893,8.45
"35540","06","work-related",1,9,1324255.113327,18842969.34893,7.03
"35541","06","work-related",1,10,1778957.19142,18842969.34893,9.44
"35542","06","work-related",1,11,825822.17787,18842969.34893,4.38
"35543","06","work-related",1,12,793590.81484,18842969.34893,4.21
"35544","06","work-related",1,13,1357172.827277,18842969.34893,7.2
"35545","06","work-related",1,14,700852.04632,18842969.34893,3.72
"35546","06","work-related",1,15,3270586.90563,18842969.34893,17.36
"35547","06","work-related",1,16,1095867.8013,18842969.34893,5.82
"35548","06","work-related",1,17,523622.06223,18842969.34893,2.78
"35549","06","work-related",1,18,1933712.951796,18842969.34893,10.26
"35550","06","work-related",1,19,991671.31966,18842969.34893,5.26
"35551","06","work-related",1,20,1350985.12534,18842969.34893,7.17
"35552","06","work-related",1,21,609347.81345,18842969.34893,3.23
"35553","06","work-related",1,22,380635.98138,18842969.34893,2.02
"35554","06","work-related",1,23,154462.23333,18842969.34893,0.82
"35555","06","work-related",2,4,343559.40247,49566248.757598,0.69
"35556","06","work-related",2,5,2362288.58557,49566248.757598,4.77
"35557","06","work-related",2,6,2127053.09766,49566248.757598,4.29
"35558","06","work-related",2,7,3894603.46321,49566248.757598,7.86
"35559","06","work-related",2,8,2422294.911228,49566248.757598,4.89
"35560","06","work-related",2,9,3131756.392252,49566248.757598,6.32
"35561","06","work-related",2,10,5593164.014152,49566248.757598,11.28
"35562","06","work-related",2,11,6161367.357199,49566248.757598,12.43
"35563","06","work-related",2,12,3191991.97429,49566248.757598,6.44
"35564","06","work-related",2,13,3385922.80863,49566248.757598,6.83
"35565","06","work-related",2,14,3440684.902938,49566248.757598,6.94
"35566","06","work-related",2,15,5316165.811172,49566248.757598,10.73
"35567","06","work-related",2,16,5130543.743473,49566248.757598,10.35
"35568","06","work-related",2,17,2167777.178868,49566248.757598,4.37
